ID,Address,Price_€,Rooms,Bathrooms,Size_m2,Price_m2,Property_type,Seller_type,City,Neightbourhood,Links,Description,Date_Scraped
id5514004433912,"Piso  Carrer del rosselló. Piso con 2 habitaciones con ascensor, calefacción y aire acondic",395000,2,1,57,6930,FLAT,SECOND_HAND,Barcelona,Sagrada Família,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_con_ascensor_calefaccion_y_aire_acondic_sagrada_familia-barcelona-i5514004433912.htm?pag=60&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Piso en venta en Sagrada Familia. reformado nuevo a estrenar . Dispone de 57 m2 construidos según catastro, con orientac...",2023-06-19
id3792004397431,Piso  Carrer de calàbria. Piso en venta totalmente reformado en calàbria con calle paris.,410000,3,2,115,3565,FLAT,SECOND_HAND,Barcelona,La Nova Esquerra de l´Eixample,https://www.habitaclia.com/comprar-piso-en_venta_totalmente_reformado_en_calabria_con_calle_paris_la_nova_esquerra_de_l_eixample-barcelona-i3792004397431.htm?pag=60&hab=1&ban=1&f=&geo=p&from=list&lo=55,Piso de 100 m2 útiles completamente reformado. Situado en la calle Calàbria con calle Paris.   El inmueble consta de v...,2023-06-19
id21527000000213,"Piso  Carrer de la mina de la ciutat. Piso con 4 habitaciones con ascensor, calefacción y aire acondic",239900,4,2,105,2285,FLAT,SECOND_HAND,Barcelona,Roquetes,https://www.habitaclia.com/comprar-piso-con_4_habitaciones_con_ascensor_calefaccion_y_aire_acondic_roquetes-barcelona-i21527000000213.htm?pag=60&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Precioso piso seminuevo del año 2001, exterior, muy luminoso situado en una de las calles principales del barrio de Roqu...",2023-06-19
id21014004125054,Piso  Carrer de lincoln. Piso con 3 habitaciones con ascensor y calefacción,495000,3,2,100,4950,FLAT,SECOND_HAND,Barcelona,Putget,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_y_calefaccion_putget_farro-barcelona-i21014004125054.htm?pag=60&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Luminosa primera planta en calle muy tranquila a 100m de PL. Molina. Orientada al oeste, con una muy buena distribución...",2023-06-19
id4331004412039,"Piso  en  Carrer cometa, 6. Preciosa pieza reformada",650000,1,1,140,4643,FLAT,SECOND_HAND,Barcelona,Gòtic,https://www.habitaclia.com/comprar-piso-preciosa_pieza_reformada_calle_cometa_6_gotic-barcelona-i4331004412039.htm?pag=60&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Pieza muy interesante por su ubicación junto a Plaza Sant Jaume, por su marcada identidad clásica y carácter y por su mu...",2023-06-19
id12224003701663,Piso  Carrer de sant antoni abat. Apartamento con terraza y trastero,150000,2,1,60,2500,FLAT,SECOND_HAND,Barcelona,Raval,https://www.habitaclia.com/comprar-piso-apartamento_con_terraza_y_trastero_raval-barcelona-i12224003701663.htm?pag=60&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Genial vivienda en el centro de Barcelona, al lado del ""Mercat de Sant Antoni"". cerca de todo tipo de comercios, museos...",2023-06-19
id4376004413587,"Piso  en  Pedralbes. Piso con 6 habitaciones con ascensor, calefacción y aire acondic",2300000,6,4,350,6571,FLAT,SECOND_HAND,Barcelona,Pedralbes,https://www.habitaclia.com/comprar-piso-con_6_habitaciones_con_ascensor_calefaccion_y_aire_acondic_pedralbes-barcelona-i4376004413587.htm?pag=60&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Ubicado en Pedralbes, al lado del Liceo Francés y del Real Club de Tenis Barcelona, encontramos este magnífico piso de 3...",2023-06-19
id42203000000119,Piso  en  Dreta de l´Eixample. Luminosidad y vistas en la dreta de l'eixample,890000,2,2,80,11125,FLAT,SECOND_HAND,Barcelona,Dreta de l´Eixample,https://www.habitaclia.com/comprar-piso-luminosidad_y_vistas_en_la_dreta_de_l_eixample_dreta_de_l_eixample-barcelona-i42203000000119.htm?pag=60&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Te encuentras frente a una maravillosa oportunidad de adquirir un piso en venta en el corazón de la Dreta de L'Eixample,...",2023-06-19
id5020003999515,Piso  en  Zona Franca - Port,199900,2,1,69,2897,FLAT,SECOND_HAND,Barcelona,Zona Franca,https://www.habitaclia.com/comprar-piso-zona_franca_port-barcelona-i5020003999515.htm?pag=60&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Vivienda en venta, totalmente reformada, para entrar a vivir de 69m², según catastro, en finca de 1977 con ascensor.  E...",2023-06-19
id41336000000004,Piso  en  Carrer de provença 355. Vivienda reformada,386000,1,1,53,7283,FLAT,SECOND_HAND,Barcelona,Dreta de l´Eixample,https://www.habitaclia.com/comprar-piso-vivienda_reformada_calle_de_provenca_355_dreta_de_l_eixample-barcelona-i41336000000004.htm?pag=60&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Provença 355 es un edificio clásico de l’Eixample original del 1935, situado en una excelente ubicación, sin apenas tráf...",2023-06-19
id5935004333753,Casa  Camí de santa creu d'olorda a vallvidrera. Magnífica vivienda de 359 m2 más jardín de 731m2 y construida en,1650000,5,6,359,4596,HOUSE,SECOND_HAND,Barcelona,Vallvidrera,https://www.habitaclia.com/comprar-casa-magnifica_vivienda_de_359_m2_mas_jardin_de_731m2_y_construida_en_vallvidrera_tibidabo_les_planes-barcelona-i5935004333753.htm?pag=60&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Magnífica vivienda de 359 m2 más jardín de 731m2 y construida en parcela de 1.770 m2, está situada en Vallvidrera, a poc...",2023-06-19
id30637000000381,Piso  Avenida d'eduard maristany. Disfrute de una estancia cómoda y confortable en un moderno y el,550000,2,2,80,6875,FLAT,SECOND_HAND,Barcelona,Besòs,https://www.habitaclia.com/comprar-piso-disfrute_de_una_estancia_comoda_y_confortable_en_un_moderno_y_el_besos_maresme-barcelona-i30637000000381.htm?pag=60&hab=1&ban=1&f=&geo=p&from=list&lo=55,"El apartamento ofrece un piso cómodo y conveniente en Barcelona, con su edificio moderno y bien equipado. Con un diseño...",2023-06-19
id4331004412061,Ático  en  Carrer de montsió 7. Finca histórica en pleno corazón de la ciudad,345000,2,2,68,5074,PENTHOUSE,SECOND_HAND,Barcelona,Gòtic,https://www.habitaclia.com/comprar-atico-finca_historica_en_pleno_corazon_de_la_ciudad_calle_de_montsio_7_gotic-barcelona-i4331004412061.htm?pag=60&hab=1&ban=1&f=&geo=p&from=list&lo=55,Fincas Layes presenta este ático en última planta de una finca histórica de 1.900 con ascensor nuevo y perfectamente man...,2023-06-19
id3846004386694,Piso  Avila,298000,3,1,65,4585,FLAT,SECOND_HAND,Barcelona,El Parc i la Llacuna del Poblenou,https://www.habitaclia.com/comprar-piso-el_parc_i_la_llacuna_del_poblenou-barcelona-i3846004386694.htm?pag=60&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Estupenda oportunidad en el Parc i La Llacuna del Poblenou sobre calle Avila con calle Almogavers, en una bonita finca d...",2023-06-19
id718004432128,Ático  en  Sant Andreu de Palomar. Ático con terraza de 45m a la venta,299000,3,1,105,2848,PENTHOUSE,SECOND_HAND,Barcelona,Sant Andreu de Palomar,https://www.habitaclia.com/comprar-atico-con_terraza_de_45m_a_la_venta_sant_andreu_de_palomar-barcelona-i718004432128.htm?pag=60&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Se vende ÁTICO con terraza de 45m en Sant Andreu. En una zona con variedad en comercios, restauración y con varios trans...",2023-06-19
id3586004110559,Piso  Garcia faria. Impresionante piso en primera linea de mar,1650000,3,2,201,8209,FLAT,SECOND_HAND,Barcelona,Diagonal Mar i el Front Marítim del Poblenou,https://www.habitaclia.com/comprar-piso-impresionante_en_primera_linea_de_mar_diagonal_mar_i_el_front_maritim_del_poblenou-barcelona-i3586004110559.htm?pag=61&hab=1&ban=1&f=&geo=p&from=list&lo=55,"El piso de tus sueños en Barcelona, zona Diagonal Mar, en el exclusivo complejo Illa de la Llum, 201 metros de superfici...",2023-06-19
id3610004367952,Piso  Carrer de les tres senyores. Atico con 2 impresionantes terrazas,795000,3,2,134,5933,FLAT,SECOND_HAND,Barcelona,Vila de Gràcia,https://www.habitaclia.com/comprar-piso-atico_con_2_impresionantes_terrazas_vila_de_gracia-barcelona-i3610004367952.htm?pag=61&hab=1&ban=1&f=&geo=p&from=list&lo=55,"¿Está buscando un Atico con 2 grandes Terrazas y Parking Opcional? No lo busque más, en Fincas Dueñas lo tenemos !!  ...",2023-06-19
id27344003744346,Ático  Reina amalia. Ático dúplex con terraza en venta,375000,2,1,65,5769,PENTHOUSE,SECOND_HAND,Barcelona,Raval,https://www.habitaclia.com/comprar-atico-duplex_con_terraza_en_venta_raval-barcelona-i27344003744346.htm?pag=61&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Bienvenido a este encantador apartamento, un espacio habitable acogedor y luminoso que abarca unos generosos 65 m2. Situ...",2023-06-19
id39422000000205,"Piso  Carrer de jordà. Piso con 3 habitaciones con ascensor, parking y aire acondiciona",850000,3,2,123,6911,FLAT,SECOND_HAND,Barcelona,Sarrià,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_parking_y_aire_acondiciona_sarria-barcelona-i39422000000205.htm?pag=61&hab=1&ban=1&f=&geo=p&from=list&lo=55,Piso ubicado en una magnífica zona junto calle Mayor de Sarriá. Tiene una superficie de 123 m2 construidos y posee 3 hab...,2023-06-19
id5427004436097,"Piso  en  Passeig font d´en fargas, 64. Obra nueva de seis viviendas",390000,2,2,68,5735,FLAT,SECOND_HAND,Barcelona,La Font d´en Fargues,https://www.habitaclia.com/comprar-piso-obra_nueva_de_seis_viviendas_paseo_font_den_fargas_64_la_font_d_en_fargues-barcelona-i5427004436097.htm?pag=61&hab=1&ban=1&f=&geo=p&from=list&lo=55,TELLO&ASSOCIATS GESTORS DE PATRIMONI LES OFRECE  ESTA FANTASTICA PROMOCION DE OBRA NUEVA DE SEIS EXCLUSIVAS VIVIENDAS EN...,2023-06-19
id45024000000044,"Ático  Avinguda de gaudí. Ático con terraza en avda. gaudí. 5 habitaciones, 2baños.",615000,5,2,125,4920,PENTHOUSE,SECOND_HAND,Barcelona,Sagrada Família,https://www.habitaclia.com/comprar-atico-con_terraza_en_avda_gaudi_5_habitaciones_2banos_sagrada_familia-barcelona-i45024000000044.htm?pag=61&hab=1&ban=1&f=&geo=p&from=list&lo=55,GV Asssessors presenta la oportunidad de reformar un ático con terraza al gusto de su propietario en la Avenida Gaudí co...,2023-06-19
id3846004386710,Piso  Llacuna,620000,3,2,101,6139,FLAT,SECOND_HAND,Barcelona,Poblenou,https://www.habitaclia.com/comprar-piso-poblenou-barcelona-i3846004386710.htm?pag=61&hab=1&ban=1&f=&geo=p&from=list&lo=55,"¿Buscas un inmueble en una finca de ""La Llave de Oro"" del 2003"" que destaque por su altura, vistas despejadas y sobre to...",2023-06-19
id718004432129,Piso  Ausona. Piso en venta en la trinitat vella,99000,2,1,56,1768,FLAT,SECOND_HAND,Barcelona,Trinitat Vella,https://www.habitaclia.com/comprar-piso-en_venta_en_la_trinitat_vella_trinitat_vella-barcelona-i718004432129.htm?pag=61&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Altura piso 3º, piso superficie total 56 m², superficie útil 51 m², hab. individuales: 1, habitaciones dobles: 1, 1 baño...",2023-06-19
id41336000000003,Piso  en  Carrer de provença 355. Piso con calefacción y aire acondicionado,386054,1,1,57,6773,FLAT,SECOND_HAND,Barcelona,Dreta de l´Eixample,https://www.habitaclia.com/comprar-piso-con_calefaccion_y_aire_acondicionado_calle_de_provenca_355_dreta_de_l_eixample-barcelona-i41336000000003.htm?pag=61&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Provença 355 es un edificio clásico de l’Eixample original del 1935, situado en una excelente ubicación, sin apenas tráf...",2023-06-19
id5020003999287,Piso  en  La Nova Esquerra de l´Eixample,440000,2,2,89,4944,FLAT,SECOND_HAND,Barcelona,La Nova Esquerra de l´Eixample,https://www.habitaclia.com/comprar-piso-la_nova_esquerra_de_l_eixample-barcelona-i5020003999287.htm?pag=61&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Cómodo y funcional piso para entrar a vivir en L’Eixample Esquerra de Barcelona. Piso de 81m², según catastro.  Cuarta...",2023-06-19
id657004402467,Piso  en  Carrer de gomis 42. Piso con 3 habitaciones,607000,3,2,87,6977,FLAT,SECOND_HAND,Barcelona,Vallcarca,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_calle_de_gomis_42_vallcarca_penitents-barcelona-i657004402467.htm?pag=61&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Nueva promoción en el distrito de Gracia, a los pies de Collserola. El barrio de Vallcarca i els Penitents es una zona t...",2023-06-19
id3459004441882,Piso  Carrer de frança. Piso con 3 habitaciones con aire acondicionado,190000,3,1,59,3220,FLAT,SECOND_HAND,Barcelona,Baix Guinardó,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_aire_acondicionado_baix_guinardo-barcelona-i3459004441882.htm?pag=61&hab=1&ban=1&f=&geo=p&from=list&lo=55,"C/ França: Piso de 59 m² aprox. Se distribuye en 2 dormitorios y un estudio, comedor exterior a calle con cocina abierta...",2023-06-19
id4089004437441,Casa  Carrer alberes. Maravillosa casa con jardín y piscina,2650000,6,7,807,3284,HOUSE,SECOND_HAND,Barcelona,Vallvidrera,https://www.habitaclia.com/comprar-casa-maravillosa_con_jardin_y_piscina_vallvidrera_tibidabo_les_planes-barcelona-i4089004437441.htm?pag=61&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Impresionante casa de aprox 800 m2 de vivienda, en una parcela de 1.400 mts, situada en la calle Alberes en Vallvidriera...",2023-06-19
id12961004390607,Piso  Carrer d'aragó. Piso con 2 habitaciones con calefacción y aire acondicionado,172000,2,1,45,3822,FLAT,SECOND_HAND,Barcelona,La Nova Esquerra de l´Eixample,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_con_calefaccion_y_aire_acondicionado_la_nova_esquerra_de_l_eixample-barcelona-i12961004390607.htm?pag=61&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Excelente piso reformado junto al parque de Joan Miró. Consta de 2 dormitorios, de los que uno es doble de 12 m²; salón...",2023-06-19
id31686000000345,Piso  Barcelona - cl marroc. Reformado y con terraza con barbacoa,222000,1,1,39,5692,FLAT,SECOND_HAND,Barcelona,Provençals del Poblenou,https://www.habitaclia.com/comprar-piso-reformado_y_con_terraza_con_barbacoa_provenc_als_del_poblenou-barcelona-i31686000000345.htm?pag=61&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Bienvenidos a este anuncio, donde les presentamos un espectacular piso en venta ubicado en Barcelona, en la maravillosa...",2023-06-19
id29906003883081,Piso  Carrer de buenos aires. Alto y luminoso piso en finca con 2 ascensores y servicio de con,585000,4,2,111,5270,FLAT,SECOND_HAND,Barcelona,L´Antiga Esquerra de l´Eixample,https://www.habitaclia.com/comprar-piso-alto_y_luminoso_en_finca_con_2_ascensores_y_servicio_de_con_l_antiga_esquerra_de_l_eixample-barcelona-i29906003883081.htm?pag=62&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Alto y luminoso piso en calle Buenos Aires, ubicado en una sexta planta en finca con 2 ascensores y servicio de conserje...",2023-06-19
id11970003959123,Piso  en  Valldonzella 56. ¡reforma total diseño 2022 junto rda st antoni y a 2 calles de l,185000,1,1,45,4111,FLAT,SECOND_HAND,Barcelona,Raval,https://www.habitaclia.com/comprar-piso-reforma_total_diseno_2022_junto_rda_st_antoni_y_a_2_calles_de_l_valldonzella_56_raval-barcelona-i11970003959123.htm?pag=62&hab=1&ban=1&f=&geo=p&from=list&lo=55,Os presentamos este precioso piso completamente reformado a diseño en 2022.  El piso se distribuye de la siguiente for...,2023-06-19
id40096000000258,Piso  Passeig de pujades. Piso con 3 habitaciones con ascensor,365000,3,1,80,4563,FLAT,SECOND_HAND,Barcelona,St. Pere,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_st_pere_sta_caterina_el_born-barcelona-i40096000000258.htm?pag=62&hab=1&ban=1&f=&geo=p&from=list&lo=55,"DESCRIPCIÓN Oi Real Estate presenta en exclusiva, espectacular piso en venta, situado en el Barrio Fort Pienc en la cal...",2023-06-19
id13074000030361,Piso  en  Raval. Piso con 2 habitaciones amueblado con calefacción y aire acondic,245000,2,1,77,3182,FLAT,SECOND_HAND,Barcelona,Raval,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_amueblado_con_calefaccion_y_aire_acondic_raval-barcelona-i13074000030361.htm?pag=62&hab=1&ban=1&f=&geo=p&from=list&lo=55,"PISO EN VENTA EN RAMBLA RAVAL CON CALLE SANT BARTOMEU La Finca es del año 1850, es una cuarta planta altura real, sin a...",2023-06-19
id13074000019642,"Piso  en  St. Pere - Sta. Caterina - El Born. Piso amueblado con ascensor, parking, calefacción y aire acondic",410000,1,1,62,6613,FLAT,SECOND_HAND,Barcelona,St. Pere,https://www.habitaclia.com/comprar-piso-amueblado_con_ascensor_parking_calefaccion_y_aire_acondic_st_pere_sta_caterina_el_born-barcelona-i13074000019642.htm?pag=62&hab=1&ban=1&f=&geo=p&from=list&lo=55,MAGNÍFICO PISO EN VENTA EN LA BARCELONETA Fantástico piso en venta de 62 metros cuadrados construidos y 55 metros útile...,2023-06-19
id14157004382136,"Piso  Avinguda meridiana. Piso con 4 habitaciones con ascensor, parking, calefacción, aire",298000,4,2,114,2614,FLAT,SECOND_HAND,Barcelona,Sant Andreu de Palomar,https://www.habitaclia.com/comprar-piso-con_4_habitaciones_con_ascensor_parking_calefaccion_aire_sant_andreu_de_palomar-barcelona-i14157004382136.htm?pag=62&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Se vende este estupendo y alegre piso ubicado entre el Centro Comercial Hipercor y Paseo Fabra i Puig, uno de los ejes c...",2023-06-19
