ID,Address,Price_€,Rooms,Bathrooms,Size_m2,Price_m2,Property_type,Seller_type,City,Neightbourhood,Links,Description,Date_Scraped
id4017003409839,Casa  en  Vila de Gràcia. Pieza única con piscina en jardinets de gràcia,2850000,4,5,431,6613,HOUSE,SECOND_HAND,Barcelona,Vila de Gràcia,https://www.habitaclia.com/comprar-casa-pieza_unica_con_piscina_en_jardinets_de_gracia_vila_de_gracia-barcelona-i4017003409839.htm?pag=600&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Espectacular casa unifamiliar, junto a los Jardines de Gracia, y a tan solo 2 min andando de Paseo de Gracia, en uno de...",2023-06-19
id8166003791776,Ático  en  Sant Gervasi - Bonanova. Fantástico sobreático en bonanova,750000,2,2,103,7282,PENTHOUSE,SECOND_HAND,Barcelona,Sant Gervasi,https://www.habitaclia.com/comprar-atico-fantastico_sobre_en_bonanova_sant_gervasi_bonanova-barcelona-i8166003791776.htm?pag=600&hab=1&ban=1&f=&geo=p&from=list&lo=55,Piso con inquilino actualmente. Único y soleado sobreático de 103 m2 construidos y 35 m2 en terrazas.  Se trata de una...,2023-06-19
id5903001748869,"Piso  en  Sant Ramon - Maternitat. Fantástico piso alto, de 136 m2, , con vistas espectaculares sob",890000,4,3,136,6544,FLAT,SECOND_HAND,Barcelona,Sant Ramon,https://www.habitaclia.com/comprar-piso-fantastico_alto_de_136_m2_con_vistas_espectaculares_sob_sant_ramon_maternitat-barcelona-i5903001748869.htm?pag=600&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Espectacular piso alto de 136m2, construidos,  en venta, en Les Corts.  Salón-comedor de 40 m2  con vistas espectaculare...",2023-06-19
id8166003793585,Piso  en  Diagonal Mar i el Front Marítim del Poblenou. Gran piso en la illa de la llum,1625000,4,2,145,11207,FLAT,SECOND_HAND,Barcelona,Diagonal Mar i el Front Marítim del Poblenou,https://www.habitaclia.com/comprar-piso-gran_en_la_illa_de_la_llum_diagonal_mar_i_el_front_maritim_del_poblenou-barcelona-i8166003793585.htm?pag=600&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Este fantástico y familiar piso está situado en la Illa de la Llum, uno de los edificios más emblemáticos de la exclusiv...",2023-06-19
id8166003793513,Piso  en  Dreta de l´Eixample. Exclusivo piso con parking en eixample,1295000,2,3,126,10278,FLAT,SECOND_HAND,Barcelona,Dreta de l´Eixample,https://www.habitaclia.com/comprar-piso-exclusivo_con_parking_en_eixample_dreta_de_l_eixample-barcelona-i8166003793513.htm?pag=600&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Se sitúa en un edificio nuevo construido en 2021 en la derecha del Eixample, diseñado por los galardonados GCA Architect...",2023-06-19
id44954000000157,"Piso  Carrer de valència. Piso con 3 habitaciones con ascensor, calefacción y aire acondic",340000,3,1,81,4198,FLAT,SECOND_HAND,Barcelona,El Clot,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_calefaccion_y_aire_acondic_el_clot-barcelona-i44954000000157.htm?pag=600&hab=1&ban=1&f=&geo=p&from=list&lo=55,"MIA HOUSE  les presenta  Piso en venta en el Clot, de 81m2, salón comedor luminoso y soleado, con terraza exterior a c...",2023-06-19
id8166003788852,Piso  en  Putget - Farró. Exclusivo atico obra nueva en sarrià-sant gervasi,1490000,3,2,127,11732,FLAT,SECOND_HAND,Barcelona,Putget,https://www.habitaclia.com/comprar-piso-exclusivo_atico_obra_nueva_en_sarria_sant_gervasi_putget_farro-barcelona-i8166003788852.htm?pag=600&hab=1&ban=1&f=&geo=p&from=list&lo=55,Excepcional edificio residencial de obra nueva en la zona de Sarrià- Sant Gervasi. Espléndida promoción y única por zon...,2023-06-19
id8166003793212,Piso  en  La Nova Esquerra de l´Eixample. Piso reformado para entrar a vivir a lado del clínic,930000,4,3,180,5167,FLAT,SECOND_HAND,Barcelona,La Nova Esquerra de l´Eixample,https://www.habitaclia.com/comprar-piso-reformado_para_entrar_a_vivir_a_lado_del_clinic_la_nova_esquerra_de_l_eixample-barcelona-i8166003793212.htm?pag=600&hab=1&ban=1&f=&geo=p&from=list&lo=55,Engel & Völkers presenta este fantástico piso en la Nova Esquerra del Eixample a lado del Hospital Clinic. La propiedad...,2023-06-19
id40975000000035,Casa  De la font del mont. Casa rodeada de naturaleza en vallvidrera,780000,7,3,193,4041,HOUSE,SECOND_HAND,Barcelona,Vallvidrera,https://www.habitaclia.com/comprar-casa-rodeada_de_naturaleza_en_vallvidrera_vallvidrera_tibidabo_les_planes-barcelona-i40975000000035.htm?pag=600&hab=1&ban=1&f=&geo=p&from=list&lo=55,Exclusiva casa de 3 plantas y 4 vientos en Sarrià de 193m2 construidos. Muy cerca de la parada del Pie del Funicular (Fe...,2023-06-19
id8166003787998,Piso  en  Tres Torres. Piso en buen estado con piscina en tres torres,1190000,5,3,220,5409,FLAT,SECOND_HAND,Barcelona,Tres Torres,https://www.habitaclia.com/comprar-piso-en_buen_estado_con_piscina_en_tres_torres_tres_torres-barcelona-i8166003787998.htm?pag=600&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Situado en un confortable entorno residencial y rodeado de comercios y servicios, encontramos un precioso piso en buen e...",2023-06-19
id26855000001758,Piso  Calle sant antoni maria claret. Piso de 3 habitaciones y 2 baños,299000,3,2,90,3322,FLAT,SECOND_HAND,Barcelona,El Camp d´en Grassot i Gràcia Nova,https://www.habitaclia.com/comprar-piso-de_3_habitaciones_y_2_banos_el_camp_d_en_grassot_i_gracia_nova-barcelona-i26855000001758.htm?pag=600&hab=1&ban=1&f=&geo=p&from=list&lo=55,PRODUCTO EXCLUSIVO APIALIA   Excelente piso entre Gracia y Sagrada Familia de 90 m2. Se trata de un inmueble en planta...,2023-06-19
id18274004416502,Piso  en  Gran via de les corts catalanes 1046,309990,3,1,95,3263,FLAT,SECOND_HAND,Barcelona,Provençals del Poblenou,https://www.habitaclia.com/comprar-piso-gran_via_de_les_corts_catalanes_1046_provenc_als_del_poblenou-barcelona-i18274004416502.htm?pag=600&hab=1&ban=1&f=&geo=p&from=list&lo=55,Fenomenal piso con terraza en Sant Martí.  Housfy la agencia inmobiliaria con las mejores condiciones hipotecarias.  Se...,2023-06-19
id4975004331062,Ático  en  Sant Gervasi - Galvany. Ático de 184 m² en venta en tres torres,1600000,4,3,184,8696,PENTHOUSE,SECOND_HAND,Barcelona,Sant Gervasi,https://www.habitaclia.com/comprar-atico-de_184_m2_en_venta_en_tres_torres_sant_gervasi_galvany-barcelona-i4975004331062.htm?pag=600&hab=1&ban=1&f=&geo=p&from=list&lo=55,Accedemos a la vivienda por un espacioso salón-comedor muy luminoso con salida a una terraza con vistas despejadas. Junt...,2023-06-19
id8166003791614,Ático  en  La Nova Esquerra de l´Eixample. Fantástico ático dúplex con terraza y parking en eixample,1050000,5,2,162,6481,PENTHOUSE,SECOND_HAND,Barcelona,La Nova Esquerra de l´Eixample,https://www.habitaclia.com/comprar-atico-fantastico_duplex_con_terraza_y_parking_en_eixample_la_nova_esquerra_de_l_eixample-barcelona-i8166003791614.htm?pag=600&hab=1&ban=1&f=&geo=p&from=list&lo=55,Engel & Völkers presenta este magnífico ático dúplex en la Nova Esquerra del Eixample. La propiedad consta de 152m2 divi...,2023-06-19
