ID,Address,Price_€,Rooms,Bathrooms,Size_m2,Price_m2,Property_type,Seller_type,City,Neightbourhood,Links,Description,Date_Scraped
id4455003749856,"Piso  Vilageliu i gavalda. Piso con 3 habitaciones con ascensor, calefacción y aire acondic",240000,3,2,85,2824,FLAT,SECOND_HAND,Barcelona,La Marina del Port,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_calefaccion_y_aire_acondic_la_marina_del_port-barcelona-i4455003749856.htm?pag=50&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Piso TOTALMENTE EXTERIOR en finca del 2002.  La vivienda dispone de 3 habitaciones (1 doble y dos individuales), ampli...",2023-06-18
id8084000001665,Piso  De joan de borbó. Piso con 3 habitaciones con ascensor y calefacción,305000,3,1,60,5083,FLAT,SECOND_HAND,Barcelona,Barceloneta,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_y_calefaccion_barceloneta-barcelona-i8084000001665.htm?pag=50&hab=1&ban=1&f=&geo=p&from=list&lo=55,Precioso piso en el popular barrio de La Barceloneta ¡A solo 3 minutos de la playa!  Piso de 60 m² listo para entrar a...,2023-06-18
id4101004348488,Piso  Carrer de sostres. Piso en venta en el coll- la salut,225000,2,1,50,4500,FLAT,SECOND_HAND,Barcelona,Vallcarca,https://www.habitaclia.com/comprar-piso-en_venta_en_el_coll_la_salut_vallcarca_penitents-barcelona-i4101004348488.htm?pag=50&hab=1&ban=1&f=&geo=p&from=list&lo=55,"PRODUCTO APIALIA PISO EN VENTA EN EL COLL- LA SALUT Acogedor piso en la zona del Coll - La Salut, en Barcelona.  Ubic...",2023-06-18
id4455003750117,Piso  Fastenrath. Piso con 3 habitaciones con calefacción,199000,3,1,71,2803,FLAT,SECOND_HAND,Barcelona,La Teixonera,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_calefaccion_la_teixonera-barcelona-i4455003750117.htm?pag=50&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Piso de 64 m² útiles en finca sin ascensor.  Primer piso, siendo un segundo real. Salón exterior a calle, pequeña terr...",2023-06-18
id3754003240006,Piso  Cadi. Piso en venta en el turó de la peira-can peguera,124450,3,1,57,2183,FLAT,SECOND_HAND,Barcelona,Turó de la Peira,https://www.habitaclia.com/comprar-piso-en_venta_en_el_turo_de_la_peira_can_peguera_el_turo_de_la_peira-barcelona-i3754003240006.htm?pag=50&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Cómodo piso en Barcelona, ideal para familias. Piso 5º sin ascensor. El inmueble cuenta con una superficie de 57 m² cons...",2023-06-18
id3787004406361,"Planta baja  Vallcarca. Planta baja con 4 habitaciones con ascensor, parking, calefacció",555000,4,2,120,4625,GROUND_FLOOR,SECOND_HAND,Barcelona,Vallcarca,https://www.habitaclia.com/comprar-planta_baja-con_4_habitaciones_con_ascensor_parking_calefaccio_vallcarca_penitents-barcelona-i3787004406361.htm?pag=50&hab=1&ban=1&f=&geo=p&from=list&lo=55,¡ÚLTIMA VIVIENDA DISPONIBLE!  Excelente piso a estrenar con vistas al Parc Güell.  Edificio de reciente construcción...,2023-06-18
id11220004332580,Piso  Aurora. Piso en venta en c/ aurora,249900,3,1,111,2251,FLAT,SECOND_HAND,Barcelona,Raval,https://www.habitaclia.com/comprar-piso-en_venta_en_c_aurora_raval-barcelona-i11220004332580.htm?pag=50&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Vivienda ubicada en el casco urbano de Barcelona, en la zona de la Ciutat Vella.  Piso exterior de 110 m2 perfectament...",2023-06-18
id21241000011486,Piso  Borges blanques. Piso de 43m2 en nou barris. 1 habitacion : doble y equipada. 1 b,75000,1,1,43,1744,FLAT,SECOND_HAND,Barcelona,Prosperitat,https://www.habitaclia.com/comprar-piso-de_43m2_en_nou_barris_1_habitacion_doble_y_equipada_1_b_prosperitat-barcelona-i21241000011486.htm?pag=50&hab=1&ban=1&f=&geo=p&from=list&lo=55,"REF : 002747  CARACTERÍSTICAS: Piso de 43m2 en Nou Barris, dispone en :  -Una habitacion doble (equipada y interior...",2023-06-18
id32937000000232,"Piso  Carrer de sant quintí. Junto al hospital de sant pau. piso alto, muy exterior, soleado",279900,3,1,75,3732,FLAT,SECOND_HAND,Barcelona,Guinardó,https://www.habitaclia.com/comprar-piso-junto_al_hospital_de_sant_pau_alto_muy_exterior_soleado_guinardo-barcelona-i32937000000232.htm?pag=51&hab=1&ban=1&f=&geo=p&from=list&lo=55,Gran Oportunidad. Gran piso junto al Hospital de Sant Pau. Les presentamos un inmueble donde la totalidad de sus estanc...,2023-06-18
id8166003793936,Piso  en  Fort Pienc. Fantástico piso con terraza en fort pienc,490000,3,2,110,4455,FLAT,SECOND_HAND,Barcelona,Fort Pienc,https://www.habitaclia.com/comprar-piso-fantastico_con_terraza_en_fort_pienc_fort_pienc-barcelona-i8166003793936.htm?pag=51&hab=1&ban=1&f=&geo=p&from=list&lo=55,Engel & Völkers tiene el placer de presentar este magnífico piso en finca clásica y señorial de inicios de los años XX....,2023-06-18
