ID,Address,Price_€,Rooms,Bathrooms,Size_m2,Price_m2,Property_type,Seller_type,City,Neightbourhood,Links,Description,Date_Scraped
id43193000000785,Piso  en  El Camp d´en Grassot i Gràcia Nova. Piso con 3 habitaciones con ascensor y calefacción,299000,3,1,60,4983,FLAT,SECOND_HAND,Barcelona,El Camp d´en Grassot i Gràcia Nova,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_y_calefaccion_el_camp_d_en_grassot_i_gracia_nova-barcelona-i43193000000785.htm?pag=750&hab=1&ban=1&f=&geo=p&from=list&lo=55,La Casa Agency presenta fantástico piso en Passatge Nogués.  Ubicado en el barrio de Gràcia. Al lado de todo tipo de s...,2023-06-20
id8166003793760,Piso  en  Sagrada Família. Piso en gran rehabilitación en sagrada familia,465000,4,2,99,4697,FLAT,SECOND_HAND,Barcelona,Sagrada Família,https://www.habitaclia.com/comprar-piso-en_gran_rehabilitacion_en_sagrada_familia_sagrada_familia-barcelona-i8166003793760.htm?pag=750&hab=1&ban=1&f=&geo=p&from=list&lo=55,"La finca está situado en el barrio más auténtico de la Ciudad Condal, l’Eixample, y a solo unos metros de la Sagrada Fam...",2023-06-20
id30637000000324,Piso  Lancaster. Bonito piso de dos dormitorios con un balcón en un proyecto de r,420000,2,1,62,6774,FLAT,SECOND_HAND,Barcelona,Raval,https://www.habitaclia.com/comprar-piso-bonito_de_dos_dormitorios_con_un_balcon_en_un_proyecto_de_r_raval-barcelona-i30637000000324.htm?pag=750&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Urbane International Real Estate presenta este piso de dos dormitorios en un proyecto ""Boutique"" de tan solo 19 pisos. U...",2023-06-20
id5440004335851,Piso  en  La Marina del Port. Piso con ascensor,215000,3,1,78,2756,FLAT,SECOND_HAND,Barcelona,La Marina del Port,https://www.habitaclia.com/comprar-piso-con_ascensor_la_marina_del_port-barcelona-i5440004335851.htm?pag=750&hab=1&ban=1&f=&geo=p&from=list&lo=55,"La Casa Agency presenta:   Piso en finca del 1976 con ascensor, siendo una segunda planta real ya que el edificio tie...",2023-06-20
id5440004335850,Piso  en  El Clot. Piso de vistas despejadas,398000,4,2,91,4374,FLAT,SECOND_HAND,Barcelona,El Clot,https://www.habitaclia.com/comprar-piso-de_vistas_despejadas_el_clot-barcelona-i5440004335850.htm?pag=750&hab=1&ban=1&f=&geo=p&from=list&lo=55,"La Casa Agency presenta:    Vivienda en la zona de El Clot - Sant Martí,situada en un 6º de altura de 81 mtrs útiles...",2023-06-20
id39032000000465,Dúplex  Ronda del guinardó. Dúplex,230850,1,2,102,2263,DUPLEX,SECOND_HAND,Barcelona,Guinardó,https://www.habitaclia.com/comprar-duplex-en_guinardo-barcelona-i39032000000465.htm?pag=750&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Muy buen piso tipo dúplex en planta baja de 102m2 en Ronda Guinardó. Dispone doble altura. En la planta baja: salón, c...",2023-06-20
id14283003843592,Piso  Carrer de les agudes,105000,5,1,105,1000,FLAT,SECOND_HAND,Barcelona,Ciutat Meridiana,https://www.habitaclia.com/comprar-piso-ciutat_meridiana-barcelona-i14283003843592.htm?pag=750&hab=1&ban=1&f=&geo=p&from=list&lo=55,West Side vende:  ¡¡SOLO PARA INVERSORES!! VIVIENDA SIN POSESION  Piso en Barcelona en el barrio de Torre Baró.  D...,2023-06-20
id8166003781608,Loft  en  Raval. Loft de diseño con solarium en el raval,505000,1,1,77,6558,LOFT,SECOND_HAND,Barcelona,Raval,https://www.habitaclia.com/comprar-loft-de_diseno_con_solarium_en_el_raval_raval-barcelona-i8166003781608.htm?pag=750&hab=1&ban=1&f=&geo=p&from=list&lo=55,Loft de diseño de un dormitorio y un baño que da a calle (Oeste). Tiene una escalera a un altillo de 15 m2 y a un solari...,2023-06-20
id8166003793303,Piso  en  El Poble Sec - Parc de Montjuïc. Luminoso piso reformado con balcón en finca regia,259000,2,1,57,4544,FLAT,SECOND_HAND,Barcelona,El Poble Sec,https://www.habitaclia.com/comprar-piso-luminoso_reformado_con_balcon_en_finca_regia_el_poble_sec_parc_de_montjuic-barcelona-i8166003793303.htm?pag=750&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Presentamos este lindo piso,ubicado en una de las mejores zonas de Poblesec,a unos pasos de la Av Paralel. Se trata de u...",2023-06-20
id3318004268469,Piso  en  Sant Martí de Provençals. Fantástico dúplex en calle treball,243000,3,1,83,2928,FLAT,SECOND_HAND,Barcelona,Sant Martí de Provençals,https://www.habitaclia.com/comprar-piso-fantastico_duplex_en_calle_treball_sant_marti_de_provencals-barcelona-i3318004268469.htm?pag=750&hab=1&ban=1&f=&geo=p&from=list&lo=55,"La Casa Agency presenta.  Fantástico Dúplex TODO EXTERIOR!!  Situado en una 1º planta de altura y consta de 70mt2, d...",2023-06-20
