ID,Address,Price_€,Rooms,Bathrooms,Size_m2,Price_m2,Property_type,Seller_type,City,Neightbourhood,Links,Description,Date_Scraped
id4396004133166,Piso  Carrer de santa madrona. Piso con 2 habitaciones,126000,2,1,44,2864,FLAT,SECOND_HAND,Barcelona,Raval,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_raval-barcelona-i4396004133166.htm?pag=700&hab=1&ban=1&f=&geo=p&from=list&lo=55,La casa Agency presenta:  - PISO PARA REFORMAR-  Inmueble para reformar en la zona de Drassanes que posee 44m² distr...,2023-06-20
id3318004268149,"Piso  Rambla de badal. Piso rambla de badal, barcelona",220000,2,1,65,3385,FLAT,SECOND_HAND,Barcelona,La Bordeta,https://www.habitaclia.com/comprar-piso-rambla_de_badal_la_bordeta-barcelona-i3318004268149.htm?pag=700&hab=1&ban=1&f=&geo=p&from=list&lo=55,En la conocida Rambla de Badal próximo a la misma C/ Constitución próximo a todo tipo de comercios y servicios como cole...,2023-06-20
id4017003409154,Casa  en  Pedralbes. Magnífica casa con vistas en pedralbes,4300000,6,8,686,6268,HOUSE,SECOND_HAND,Barcelona,Pedralbes,https://www.habitaclia.com/comprar-casa-magnifica_con_vistas_en_pedralbes_pedralbes-barcelona-i4017003409154.htm?pag=700&hab=1&ban=1&f=&geo=p&from=list&lo=55,En la zona exclusiva de Pedralbes nos encontramos esta propiedad de 686m2  de cuatro plantas con una parcela de 1.000. d...,2023-06-20
id27861003937879,Piso  Carrer de mallorca,500000,3,3,97,5155,FLAT,SECOND_HAND,Barcelona,La Nova Esquerra de l´Eixample,https://www.habitaclia.com/comprar-piso-la_nova_esquerra_de_l_eixample-barcelona-i27861003937879.htm?pag=700&hab=1&ban=1&f=&geo=p&from=list&lo=55,PISO A ESTRENAR!  En calle Mallorca con Viladomat. Reforma en la cual se utilizaron materias primas de calidad y de di...,2023-06-20
id5352001946989,Piso  en  Tres Torres. Vivienda de 70m2 + 56m2 de terraza en tres torres,475000,3,1,88,5398,FLAT,SECOND_HAND,Barcelona,Tres Torres,https://www.habitaclia.com/comprar-piso-vivienda_de_70m2_56m2_de_terraza_en_tres_torres_tres_torres-barcelona-i5352001946989.htm?pag=700&hab=1&ban=1&f=&geo=p&from=list&lo=55,"PISO ACOGEDOR, SILENCIOSO, Y SOLEADO  BERKSHIRE HATHAWAY HomeServices Barcelona, consultora especializada en la comerc...",2023-06-20
id4975004333453,Piso  en  Gòtic. Piso en excelentes condiciones de 4 dormitorios con 18m² terraza,1290000,4,4,215,6000,FLAT,SECOND_HAND,Barcelona,Gòtic,https://www.habitaclia.com/comprar-piso-en_excelentes_condiciones_de_4_dormitorios_con_18m2_terraza_gotic-barcelona-i4975004333453.htm?pag=700&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Excepcional vivienda ubicada en el corazón del encantador casco antiguo, que combina a la perfección el atractivo atempo...",2023-06-20
id8166003784726,Piso  en  St. Pere - Sta. Caterina - El Born. Magnífico apartamento en el born,330000,1,1,55,6000,FLAT,SECOND_HAND,Barcelona,St. Pere,https://www.habitaclia.com/comprar-piso-magnifico_apartamento_en_el_born_st_pere_sta_caterina_el_born-barcelona-i8166003784726.htm?pag=700&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Apartamento con vistas sobre el Port Vell. Situado en excelente ubicación, bien comunicado y a escasos minutos de la pl...",2023-06-20
id42397000000023,"Piso  Rambla de guipúscoa. Bona ubicació, bones vistes, ben orientat",255000,3,1,66,3864,FLAT,SECOND_HAND,Barcelona,Sant Martí de Provençals,https://www.habitaclia.com/comprar-piso-bona_ubicacio_bones_vistes_ben_orientat_sant_marti_de_provencals-barcelona-i42397000000023.htm?pag=700&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Pis ben orientat amb sol de migdia i tarda, tot exterior, amb tres habitacions amples, el balcó que dona a migdia és amp...",2023-06-20
id8166003791510,Piso  en  Hostafrancs. Piso con encanto en hostafrancs,230000,2,1,62,3710,FLAT,SECOND_HAND,Barcelona,Hostafrancs,https://www.habitaclia.com/comprar-piso-con_encanto_en_hostafrancs_hostafrancs-barcelona-i8166003791510.htm?pag=700&hab=1&ban=1&f=&geo=p&from=list&lo=55,Engel&Völkers presenta una estupenda oportunidad en una finca de gran valor histórico y clasificada como patrimonio arqu...,2023-06-20
id23591004308140,Piso  en  Sant Andreu de Palomar. Piso con 3 habitaciones con ascensor y aire acondicionado,165000,3,1,63,2619,FLAT,SECOND_HAND,Barcelona,Sant Andreu de Palomar,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_y_aire_acondicionado_sant_andreu_de_palomar-barcelona-i23591004308140.htm?pag=700&hab=1&ban=1&f=&geo=p&from=list&lo=55,¡GRAN OPORTUNIDAD EN CORAZÓN DE BARRIO SANT ANDREU!  La Casa Agency Sant Andreu tiene el honor de presentarles esta vi...,2023-06-20
