Barrios,Year,Price_m2
les Corts,2016,4469.0
les Corts,2017,4821.0
les Corts,2018,4650.0
les Corts,2019,4469.0
les Corts,2020,4654.0
les Corts,2021,4563.0
les Corts,2022,4690.0
les Corts,2023,5052.36
les Corts,2024,5177.21
les Corts,2025,5302.06
les Roquetes,2013,1733.0
les Roquetes,2014,1538.0
les Roquetes,2015,1529.0
les Roquetes,2016,1644.0
les Roquetes,2017,1885.0
les Roquetes,2018,2009.0
les Roquetes,2019,2176.0
les Roquetes,2020,2097.0
les Roquetes,2021,2085.0
les Roquetes,2022,1997.0
les Roquetes,2023,2544.57
les Roquetes,2024,2669.42
les Roquetes,2025,2794.28
les Tres Torres,2013,4509.0
les Tres Torres,2014,4742.0
les Tres Torres,2015,5145.0
les Tres Torres,2016,4956.0
les Tres Torres,2017,5689.0
les Tres Torres,2018,5607.0
les Tres Torres,2019,6460.0
les Tres Torres,2020,5749.0
les Tres Torres,2021,6024.0
les Tres Torres,2022,5882.0
les Tres Torres,2023,6235.6
les Tres Torres,2024,6360.45
les Tres Torres,2025,6485.3
